offChipTempValue,offChipTempStatus,offChipTempMessage,onboardBrightnessValue,onboardBrightnessStatus,onboardBrightnessMessage,onboardTemperatureValue,onboardTemperatureStatus,onboardHumidityValue,onboardHumidityStatus,onboardTemperatureMessage,onboardHumidityMessage,barometerTemperaturValue,barometerTemperaturStatus,barometerPressureValue,barometerPressureStatus,barometerTemperatureMessage,barometerPressureMessage,presenceValue,presenceStatus,presenceMessage,rilevationTime,imei,props
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101346.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:41.000566,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:34.000475,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101330.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:17.000375,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101357.0,OK,,,0,OK,No humans detected!,2020-01-12T10:01:14.000773,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101336.0,OK,,,0,OK,No humans detected!,2020-01-12T10:00:56.000971,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101336.0,OK,,,0,OK,No humans detected!,2020-01-12T10:00:44.000643,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T09:59:46.000140,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101353.0,OK,,,0,OK,No humans detected!,2020-01-12T09:59:41.000610,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T09:59:26.000354,000000001b982f0d,[]
22.0,OK,,0.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101342.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T09:59:14.000652,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101340.0,OK,,,0,OK,No humans detected!,2020-01-12T09:58:56.000873,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101332.0,OK,,,0,OK,No humans detected!,2020-01-12T09:58:56.000683,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101333.0,OK,,,0,OK,No humans detected!,2020-01-12T09:58:34.000798,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101343.0,OK,,,0,OK,No humans detected!,2020-01-12T09:58:30.000123,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101333.0,OK,,,0,OK,No humans detected!,2020-01-12T09:58:00.000442,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101350.0,OK,,,0,OK,No humans detected!,2020-01-12T09:57:33.000834,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,33.0,OK,,,24.0,OK,101342.0,OK,,,0,OK,No humans detected!,2020-01-12T09:57:27.000473,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101333.0,OK,,,0,OK,No humans detected!,2020-01-12T09:57:24.000455,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101336.0,OK,,,0,OK,No humans detected!,2020-01-12T09:57:00.000472,000000001b982f0d,[]
22.0,OK,,2.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101342.0,OK,,,0,OK,No humans detected!,2020-01-12T09:56:57.000820,000000001b982f0d,[]
21.0,OK,,2.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101329.0,OK,,,0,OK,No humans detected!,2020-01-12T09:56:54.000898,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,33.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T09:56:35.000379,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T09:55:56.000277,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101341.0,OK,,,0,OK,No humans detected!,2020-01-12T09:55:54.000595,000000001b982f0d,[]
21.0,OK,,3.0,OK,,22.0,OK,35.0,OK,,,24.0,OK,101332.0,OK,,,0,OK,No humans detected!,2020-01-12T09:55:47.000259,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101336.0,OK,,,0,OK,No humans detected!,2020-01-12T09:55:38.000530,000000001b982f0d,[]
